timestamp,equity,peak,drawdown,drawdown_pct,returns
2025-10-20 15:17:37.884085,100000.0,100000.0,0.0,0.0,
2025-10-20 15:17:37.884085,100000.0,100000.0,0.0,0.0,0.0
2025-10-20 15:17:37.884085,100000.0,100000.0,0.0,0.0,0.0
2025-10-20 15:17:37.884085,100000.0,100000.0,0.0,0.0,0.0
2025-10-20 15:17:37.884085,99997.50125062531,100000.0,-2.4987493746884866,-0.0024987493746884866,-2.4987493746908562e-05
2025-10-20 15:17:37.884085,99997.50125062531,100000.0,-2.4987493746884866,-0.0024987493746884866,0.0
2025-10-20 15:17:37.884085,94992.50137556277,100000.0,-5007.498624437227,-5.007498624437226,-0.050051249405906884
2025-10-20 15:17:37.884085,89987.87668796274,100000.0,-10012.123312037264,-10.012123312037263,-0.052684418402814015
2025-10-20 15:17:37.884085,89987.87668796274,100000.0,-10012.123312037264,-10.012123312037263,0.0
2025-10-20 15:17:37.884085,89987.87668796274,100000.0,-10012.123312037264,-10.012123312037263,0.0
2025-10-20 15:17:37.884085,89987.87668796274,100000.0,-10012.123312037264,-10.012123312037263,0.0
2025-10-20 15:17:37.884085,85233.7522253502,100000.0,-14766.247774649804,-14.766247774649804,-0.052830721621510146
2025-10-20 15:17:37.884085,85233.7522253502,100000.0,-14766.247774649804,-14.766247774649804,0.0
2025-10-20 15:17:37.884085,85233.7522253502,100000.0,-14766.247774649804,-14.766247774649804,0.0
2025-10-20 15:17:37.884085,85233.7522253502,100000.0,-14766.247774649804,-14.766247774649804,0.0
2025-10-20 15:17:37.884085,85233.7522253502,100000.0,-14766.247774649804,-14.766247774649804,0.0
2025-10-20 15:17:37.884085,85233.7522253502,100000.0,-14766.247774649804,-14.766247774649804,0.0
2025-10-20 15:17:37.884085,85233.7522253502,100000.0,-14766.247774649804,-14.766247774649804,0.0
2025-10-20 15:17:37.885085,80729.95032866776,100000.0,-19270.049671332235,-19.270049671332234,-0.052840591656399094
2025-10-20 15:17:37.885085,76171.1838314293,100000.0,-23828.816168570702,-23.8288161685707,-0.05646933360764894
2025-10-20 15:17:37.885085,72130.87775580434,100000.0,-27869.122244195663,-27.869122244195665,-0.053042448238251994
2025-10-20 15:17:37.885085,68318.71202034508,100000.0,-31681.287979654924,-31.681287979654925,-0.052850677186615846
2025-10-20 15:17:37.885085,64708.75219695385,100000.0,-35291.24780304615,-35.29124780304615,-0.052839986537161154
2025-10-20 15:17:37.885085,61289.58115832675,100000.0,-38710.41884167325,-38.71041884167325,-0.05283939069355226
2025-10-20 15:17:37.885085,58051.07906942114,100000.0,-41948.92093057886,-41.94892093057886,-0.0528393574845899
2025-10-20 15:17:37.885085,54983.69745755133,100000.0,-45016.30254244867,-45.01630254244867,-0.05283935563371078
2025-10-20 15:17:37.885085,52078.3943192074,100000.0,-47921.6056807926,-47.9216056807926,-0.05283935553055319
2025-10-20 15:17:37.885085,49326.60552661387,100000.0,-50673.39447338613,-50.673394473386125,-0.0528393555248039
2025-10-20 15:17:37.885085,49326.60552661387,100000.0,-50673.39447338613,-50.673394473386125,0.0
